"","AMZN","JPM","DIS","GOOG","KO"
"1180",967.799988,87.579826,99.118248,927.809998,43.714458
"1181",979.469971,86.044197,94.782433,935.950012,44.018826
"1182",965.900024,85.937286,94.792198,926.5,44.037846
"1183",977.960022,87.268814,94.811729,929.080017,44.247097
"1184",982.580017,88.337929,95.592957,932.070007,44.437328
"1185",999.599976,88.59063,96.501137,935.090027,44.580002
"1186",992.210022,88.41568,95.60273,925.109985,44.206104
"1187",986.789978,89.047432,96.208168,920.289978,44.273212
"1188",974.190002,90.310928,95.798035,915,44.206104
"1189",969.859985,91.302292,96.120285,921.809998,44.08147
"1190",973.210022,91.943756,96.881981,931.580017,43.889721
"1191",964.650024,92.361679,96.569489,932.450012,43.525417
"1192",955.099976,92.167305,96.286301,928.530029,43.611702
"1193",939.789978,91.477242,97.233536,920.969971,43.80344
"1194",938.599976,91.069023,96.31559,924.859985,43.688393
"1195",950.869995,92.507469,96.911278,944.48999,42.796799
"1196",956.400024,92.701851,95.749207,949.5,43.055653
"1197",961.349976,92.828209,96.257004,959.109985,43.15152
"1198",959.190002,94.120865,97.516731,953.27002,42.950191
"1199",957.099976,94.616531,98.424911,957.789978,43.324089
"1200",965.450012,93.654343,98.190544,951.679993,43.621288
"1201",980.849976,94.915436,97.760864,969.960022,43.640461
"1202",989.580017,94.749252,97.721802,978.890015,43.611702
"1203",990.98999,94.250671,97.233536,977,43.535
"1204",987.200012,94.954536,97.243309,972.599976,43.976009
"1205",995,94.671043,96.237473,989.25,44.19651
"1206",1000.929993,93.84008,94.655487,987.830017,44.206104
"1207",1002.940002,93.71299,95.094925,989.679993,44.273212
"1208",1006.340027,95.648636,95.827324,992,44.695045
"1209",1009.130005,95.433578,96.051933,992.179993,44.599167
